nama_kemukiman,nama_kecamatan,nama_kab_kota
Madat,Madat,Aceh Timur
Bintah,Madat,Aceh Timur
Lueng,Madat,Aceh Timur
Matang Keupula,Madat,Aceh Timur
Indra Makmu,Indra Makmu,Aceh Timur
Blang Siguci,Idi Tunong,Aceh Timur
Keumuneng,Idi Tunong,Aceh Timur
Kuta Baro,Idi Tunong,Aceh Timur
Dama Puteh,Banda Alam,Aceh Timur
Peudawa Rayeuk,Peudawa,Aceh Timur
Alue Lhok,Peureulak Timur,Aceh Timur
Alue Nireh,Peureulak Timur,Aceh Timur
Kuta Dayah,Peureulak Barat,Aceh Timur
Tgk. Digeudham,Peureulak Barat,Aceh Timur
Sungai Raya,Sungai Raya,Aceh Timur
Simpang Jernih,Simpang Jernih,Aceh Timur
Keude Dua,Darul Ihsan,Aceh Timur
Lhok Tujoh,Darul Ihsan,Aceh Timur
Ulee Gajah,Darul Falah,Aceh Timur
Seuneubok Meuku,Idi Timur,Aceh Timur
Peudawa Puntong,Idi Timur,Aceh Timur
Buntul Reje,Peunaron,Aceh Timur
Isaq,Linge,Aceh Tengah
Singah Mata,Linge,Aceh Tengah
Glung Prajah,Linge,Aceh Tengah
Wihni Dusun Jamat,Linge,Aceh Tengah
Silih Nara,Silih Nara,Aceh Tengah
Bebesen,Bebesen,Aceh Tengah
Pegasing,Pegasing,Aceh Tengah
Bintang,Bintang,Aceh Tengah
Nosar,Bintang,Aceh Tengah
Ketol,Ketol,Aceh Tengah
Kebayakan,Kebayakan,Aceh Tengah
Ratawali,Kute Panang,Aceh Tengah
Celala,Celala,Aceh Tengah
Kota,Lut Tawar,Aceh Tengah
Laut Tawar,Lut Tawar,Aceh Tengah
Burni Reje Linge,Atu Lintang,Aceh Tengah
Gedum Malik,Jagong Jeget,Aceh Tengah
Musara Bies,Bies,Aceh Tengah
Cahaya Harapan,Rusip Antara,Aceh Tengah
Pameu,Rusip Antara,Aceh Tengah
Ujong Kalak,Johan Pahlawan,Aceh Barat
Balee Puteh,Johan Pahlawan,Aceh Barat
Tgk. Chik Dirundeng,Johan Pahlawan,Aceh Barat
Putroe Ijo,Johan Pahlawan,Aceh Barat
Peureumeue,Kaway XVI,Aceh Barat
Pasi Jeumpa,Kaway XVI,Aceh Barat
Tanjong Meulaboh,Kaway XVI,Aceh Barat
Mugo,Panton Reu,Aceh Barat
Meuko,Panton Reu,Aceh Barat
Babah Krueng Manggie,Panton Reu,Aceh Barat
Tungkop,Sungai Mas,Aceh Barat
Darul Ikhsan,Sungai Mas,Aceh Barat
Kuala Bhee,Woyla,Aceh Barat
Keuleumbah,Woyla,Aceh Barat
Cot Murong,Woyla,Aceh Barat
Pasie,Samatiga,Aceh Barat
Mesjid Tuha,Samatiga,Aceh Barat
Meuneumbok,Samatiga,Aceh Barat
Krueng Tinggai,Samatiga,Aceh Barat
Mesjid Baro,Samatiga,Aceh Barat
Lhok Bubon,Samatiga,Aceh Barat
Gunong Panah,Bubon,Aceh Barat
Kuta Padang,Bubon,Aceh Barat
Suak Pangkat,Bubon,Aceh Barat
Arongan Deli,Arongan Lambalek,Aceh Barat
Lambalek,Arongan Lambalek,Aceh Barat
Meunuang Kinco,Pante Ceureumen,Aceh Barat
Lango,Pante Ceureumen,Aceh Barat
Manjeng,Pante Ceureumen,Aceh Barat
Gunong Meuh,Pante Ceureumen,Aceh Barat
Ranto Panyang,Meureubo,Aceh Barat
Meureubo,Meureubo,Aceh Barat
Lhok Malee,Wolya Barat,Aceh Barat
Bakat,Wolya Barat,Aceh Barat
Woyla Tunong,Woyla Timur,Aceh Barat
Krueng Bhee,Woyla Timur,Aceh Barat
Cot Jeumpa,Lhoong,Aceh Besar
Blang Mee,Lhoong,Aceh Besar
Lhoong,Lhoong,Aceh Besar
Glee Bruek,Lhoong,Aceh Besar
Lhoknga,Lhoknga,Aceh Besar
Kueh,Lhoknga,Aceh Besar
Lamlhom,Lhoknga,Aceh Besar
Lampuuk,Lhoknga,Aceh Besar
Reukih,Indrapuri,Aceh Besar
Empee Ara,Indrapuri,Aceh Besar
Jruek,Indrapuri,Aceh Besar
Seulimeum,Seulimeum,Aceh Besar
Lamkabeu,Seulimeum,Aceh Besar
Lamteuba,Seulimeum,Aceh Besar
Lampanah,Seulimeum,Aceh Besar
Tanoh Abee,Seulimeum,Aceh Besar
Montasik,Montasik,Aceh Besar
Bukit Baro,Montasik,Aceh Besar
Piyeung,Montasik,Aceh Besar
Sibreh,Sukamakmur,Aceh Besar
Lamlheu,Sukamakmur,Aceh Besar
Aneuk Batee,Sukamakmur,Aceh Besar
Sungai Limpah,Sukamakmur,Aceh Besar
Lamreung,Darul Imarah,Aceh Besar
Ulee Susu,Darul Imarah,Aceh Besar
Lam Ara,Darul Imarah,Aceh Besar
Daroy/Jeumpet,Darul Imarah,Aceh Besar
Lam Pangeu,Peukan Bada,Aceh Besar
Lam Teungoh,Peukan Bada,Aceh Besar
Gurah,Peukan Bada,Aceh Besar
Lambarueh,Peukan Bada,Aceh Besar
Krueng Raya,Mesjid Raya,Aceh Besar
Lamnga,Mesjid Raya,Aceh Besar
Lamgarot,Ingin Jaya,Aceh Besar
Lubok,Ingin Jaya,Aceh Besar
Gani,Ingin Jaya,Aceh Besar
Pagar Air,Ingin Jaya,Aceh Besar
Lamjampok,Ingin Jaya,Aceh Besar
Lamteungoh,Ingin Jaya,Aceh Besar
Bung Cala,Kuta Baro,Aceh Besar
Leupung,Kuta Baro,Aceh Besar
Lamblang,Kuta Baro,Aceh Besar
Ateuk,Kuta Baro,Aceh Besar
Lamrabo,Kuta Baro,Aceh Besar
Lambaro Angan,Darussalam,Aceh Besar
Tungkop,Darussalam,Aceh Besar
Siem,Darussalam,Aceh Besar
Pulo Breuh Utara,Pulo Aceh,Aceh Besar
Pulo Breuh Selatan,Pulo Aceh,Aceh Besar
Pulo Nasi,Pulo Aceh,Aceh Besar
Gunung Biram,Lembah Seulawah,Aceh Besar
Saree,Lembah Seulawah,Aceh Besar
Jantho,Kota Jantho,Aceh Besar
Glee Yeung,Kuta Cot Glie,Aceh Besar
Lamleuot,Kuta Cot Glie,Aceh Besar
Samahani,Kuta Malaka,Aceh Besar
Simpang Tiga,Simpang Tiga,Aceh Besar
Lamkrak,Simpang Tiga,Aceh Besar
Biluy,Darul Kamal,Aceh Besar
Silang Cadek,Baitussalam,Aceh Besar
Klieng,Baitussalam,Aceh Besar
Ulee Kareng,Krueng Barona Jaya,Aceh Besar
Pango,Krueng Barona Jaya,Aceh Besar
Lam Ujong,Krueng Barona Jaya,Aceh Besar
Leupung,Leupung,Aceh Besar
Sungai Makmur,Blang Bintang,Aceh Besar
Cot Saluran,Blang Bintang,Aceh Besar
Meulayo,Blang Bintang,Aceh Besar
Bintang Hu,Batee,Pidie
Calong,Batee,Pidie
Pandee,Batee,Pidie
Tungkop,Batee,Pidie
Reubee,Delima,Pidie
Aree,Delima,Pidie
Beuah,Delima,Pidie
Bambong,Delima,Pidie
